test_name,train,val,test
basic_lr,0.08064373208412172,0.07761111508746762,0.08122556603714343
basic_rf,0.016568184816421788,0.05855655365164685,0.09142926909287458
basic_nn,0.20543774152055283,0.21706671843526246,0.2109327927386425
log_lr,0.1930393931290423,2.20676410233949,2.38372257780207
log_rf,0.0009640225835672043,2.2411300753292607,2.5364291571844686
log_nn,0.05277970674917524,2.3068049269115747,2.660981999771273
rem_out_lr,0.0548220197554494,12.728882645873497,12.481623343097546
rem_out_rf,0.007516492961736949,5.7857912153393345,6.0485517968633165
rem_out_nn,0.20189690971542212,7.112075036396382,8.035918960999185
rem_corr_vars_lr,3.4959908304857126,3.1728330438782586,3.4151595111832047
rem_corr_vars_rf,0.8951030639845492,2.8824887436678326,3.307863536164169
rem_corr_vars_nn,3.348548690656069,2.9402350632631546,3.290852964651341
